start_date,end_date,name,party
1929-10-22,1932-01-06,James Scullin,Labor
1932-01-06,1939-04-07,Joseph Lyons,United Australia
1939-04-07,1939-04-26,Earle Page,Country (caretaker)
1939-04-26,1941-08-29,Robert Menzies,United Australia
1941-08-29,1941-10-07,Arthur Fadden,Country
1941-10-07,1945-07-06,John Curtin,Labor
1945-07-06,1945-07-13,Frank Forde,Labor (caretaker)
1945-07-13,1949-12-19,Ben Chifley,Labor
1949-12-19,1966-01-26,Robert Menzies,Liberal
1966-01-26,1967-12-19,Harold Holt,Liberal
1967-12-19,1968-01-10,John McEwen,Country (caretaker)
1968-01-10,1971-03-10,John Gorton,Liberal
1971-03-10,1972-12-05,William McMahon,Liberal
1972-12-05,1975-11-11,Gough Whitlam,Labor
1975-11-11,1983-03-11,Malcolm Fraser,Liberal
1983-03-11,1991-12-20,Bob Hawke,Labor
1991-12-20,1996-03-11,Paul Keating,Labor
1996-03-11,2007-12-03,John Howard,Liberal
2007-12-03,2010-06-24,Kevin Rudd,Labor
2010-06-24,2013-06-27,Julia Gillard,Labor
2013-06-27,2013-09-18,Kevin Rudd,Labor
2013-09-18,2015-09-15,Tony Abbott,Liberal
2015-09-15,2018-08-24,Malcolm Turnbull,Liberal
2018-08-24,2022-05-23,Scott Morrison,Liberal
2022-05-23,2026-12-31,Anthony Albanese,Labor
